;Id;DistrictId;Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Ecology_2;Ecology_3;Social_1;Social_2;Social_3;Healthcare_1;Helthcare_2;Shops_1;Shops_2;Price
7447;9944;23;3,0;78,06284829103095;67,70905801119426;1,0;14;17,0;2017;0,014333947;B;B;2;528;0;0,0;0;0;B;431238,4670110489
3020;8452;93;1,0;39,45827269593683;19,674890314503504;10,0;5;21,0;2013;0,050900058;B;B;43;10621;1;30,0;2;3;B;137045,06462433076
9206;6067;9;2,0;64,29461268197015;54,64574106551241;1,0;10;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;180420,59562838735
1975;7861;128;1,0;45,71116213076868;44,82443567099551;0,0;3;3,0;2016;0,0;B;B;27;4798;0;30,0;2;8;B;122650,94908721955
3022;14542;9;1,0;43,2594507708282;2,0933318546500232;1,0;13;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;129781,34270768633
245;1572;9;1,0;43,797870284335545;22,53965544863098;8,0;15;14,0;1995;0,161531741;B;B;25;5648;1;30,0;2;4;B;134933,00430180522
9190;724;9;1,0;39,43435022061821;22,228176373701135;8,0;12;14,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;140960,9741192203
3142;11087;9;2,0;60,987084505396545;54,64574106551241;1,0;5;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;179144,8130739315
3145;16034;9;2,0;54,029392622462204;31,062163251967807;8,0;7;17,0;1992;0,161531741;B;B;25;5648;1;30,0;2;4;B;173834,65371485846
3159;15413;93;3,0;78,26453604633366;41,65571364710964;11,0;7;24,0;2012;0,050900058;B;B;43;10621;1;30,0;2;3;B;311756,18582742626
3193;898;93;1,0;47,56444337054507;23,574422811627468;13,0;9;24,0;2012;0,050900058;B;B;43;10621;1;30,0;2;3;B;199556,86590520246
9058;4473;9;1,0;37,27375689335114;20,407565411381547;9,0;10;14,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;133960,18752834346
9046;15849;3;3,0;74,47822511249323;47,53915801013631;10,0;8;17,0;1984;0,050900058;B;B;43;10621;1;30,0;2;3;B;76652,04120748582
9040;7027;128;2,0;54,90161703439738;34,75362913323185;8,0;7;14,0;1994;0,0;B;B;27;4798;0;30,0;2;8;B;213343,6886695325
3201;16514;128;3,0;74,97657181327205;49,35558881911789;10,0;2;17,0;1992;0,0;B;B;27;4798;0;30,0;2;8;B;302428,2814113376
2994;4202;128;2,0;55,35845511803225;34,303293817084146;11,0;3;19,0;2000;0,0;B;B;27;4798;0;30,0;2;8;B;238229,0240838835
9253;6107;128;1,0;37,661783875930325;23,31043045816032;7,0;11;17,0;1992;0,0;B;B;27;4798;0;30,0;2;8;B;179633,12110073798
2047;12545;9;3,0;83,97842531638597;52,26192246645988;1,0;10;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;219577,83042153408
3011;9223;9;3,0;86,39225746235792;84,0582440854725;1,0;6;6,0;2017;0,161531741;B;B;25;5648;1;30,0;2;4;B;235852,74664220968
9229;2110;93;1,0;42,50100652680478;20,6348291554613;8,0;7;16,0;2006;0,050900058;B;B;43;10621;1;30,0;2;3;B;166112,8071265953
228;7682;9;3,0;79,8304393653747;48,26503036322548;10,0;5;14,0;1993;0,161531741;B;B;25;5648;1;30,0;2;4;B;246800,15531296981
9233;16598;9;1,0;51,90815605471606;30,928076795745028;1,0;3;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;154174,83665796314
9938;15868;9;2,0;64,41232574518087;61,3379378857215;1,0;13;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;183118,39648692714
2172;11186;9;1,0;40,26425789706763;20,330911776482452;8,0;11;17,0;2006;0,161531741;B;B;25;5648;1;30,0;2;4;B;149310,09819835823
2349;4039;9;1,0;44,109740494246864;21,535444918003634;8,0;12;14,0;1992;0,161531741;B;B;25;5648;1;30,0;2;4;B;143235,98152799992
2386;6444;93;2,0;63,333703660878676;33,79467170829524;10,0;4;16,0;2014;0,050900058;B;B;43;10621;1;30,0;2;3;B;146350,79671894832
2155;8793;9;1,0;45,114083091313184;44,06053172280329;1,0;4;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;122173,24341749471
2408;6163;128;3,0;82,56387480763324;48,784937504201096;8,0;10;14,0;1995;0,0;B;B;27;4798;0;30,0;2;8;B;302539,8811750922
9832;2382;9;2,0;56,51326147831565;34,85582068965107;8,0;14;14,0;1997;0,161531741;B;B;25;5648;1;30,0;2;4;B;196626,87668100692
2428;2945;3;2,0;48,64017448617122;28,562881516275848;6,0;11;12,0;1971;0,050900058;B;B;43;10621;1;30,0;2;3;B;191091,9689723418
9255;15198;9;2,0;60,392095877109746;54,64574106551241;1,0;9;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;178109,7161689242
9805;7238;9;2,0;63,64047981818411;58,1492426606838;1,0;3;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;183697,03189632032
9787;13482;9;2,0;64,05606957733083;54,64574106551241;1,0;8;18,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;172608,53510051186
2471;12098;9;3,0;79,35225562313792;52,26192246645988;1,0;9;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;232255,10548064034
9755;14347;9;2,0;59,044198813084364;33,21864209314878;9,0;3;22,0;1993;0,161531741;B;B;25;5648;1;30,0;2;4;B;209026,03095169965
9584;8403;9;2,0;56,6905540884981;56,91729555982253;1,0;8;9,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;178622,85743008766
9558;11785;93;1,0;44,42044809237588;23,56605280325513;8,0;15;16,0;2004;0,050900058;B;B;43;10621;1;30,0;2;3;B;150409,46474351196
2744;10818;128;2,0;57,1978292708512;34,10143030967245;9,0;9;17,0;1996;0,0;B;B;27;4798;0;30,0;2;8;B;268429,84630691714
2965;258;9;2,0;65,71216909861322;54,64574106551241;1,0;9;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;207533,35266253568
9239;14100;93;1,0;39,45819042471781;21,630223558712746;8,0;9;17,0;1985;0,050900058;B;B;43;10621;1;30,0;2;3;B;130416,07318200007
2436;14775;9;2,0;52,31947587163667;30,75710353869859;8,0;12;14,0;1998;0,161531741;B;B;25;5648;1;30,0;2;4;B;201524,56851770048
2745;9509;9;2,0;60,900177745722225;57,196914423384726;1,0;2;11,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;166221,47021029654
2757;10052;128;2,0;52,71732412667394;29,84156861059002;8,0;7;14,0;1995;0,0;B;B;27;4798;0;30,0;2;8;B;250824,68706211817
2042;2619;3;2,0;54,88212616146586;32,72405564129481;9,0;4;16,0;1983;0,050900058;B;B;43;10621;1;30,0;2;3;B;203727,2572163929
1243;12403;3;2,0;68,89210112783995;35,70647471714381;9,0;7;15,0;2014;0,050900058;B;B;43;10621;1;30,0;2;3;B;162713,44967202522
7487;4335;9;3,0;81,94813471027166;46,35168216269668;8,0;16;14,0;1997;0,161531741;B;B;25;5648;1;30,0;2;4;B;256303,8280474052
5861;13515;93;1,0;38,07384989603194;18,856918262192004;10,0;12;17,0;2003;0,050900058;B;B;43;10621;1;30,0;2;3;B;147209,67485552112
5879;3900;9;2,0;66,2692376321695;5,596314775838232;1,0;5;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;176781,70743685262
5887;3629;9;2,0;60,82080573824594;54,64574106551241;1,0;7;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;185338,85119574168
5970;1769;9;3,0;75,55269607697855;49,4531927830421;9,0;11;17,0;1991;0,161531741;B;B;25;5648;1;30,0;2;4;B;300677,0784241987
7442;7207;128;3,0;79,15133808283426;47,03514241530527;13,0;17;17,0;2005;0,0;B;B;27;4798;0;30,0;2;8;B;438480,13257619273
6022;7140;9;1,0;43,447231083673465;24,857355872525392;8,0;13;14,0;1990;0,161531741;B;B;25;5648;1;30,0;2;4;B;143859,32663793967
1248;11305;93;2,0;59,206599272691435;31,40423113498534;9,0;13;24,0;2015;0,050900058;B;B;43;10621;1;30,0;2;3;B;247613,57966800214
6061;11304;3;2,0;52,382892672555904;36,19689708437386;7,0;4;12,0;1976;0,050900058;B;B;43;10621;1;30,0;2;3;B;193145,19056998665
6135;7300;9;2,0;49,042670182664004;30,406019472774897;7,0;7;12,0;2010;0,161531741;B;B;25;5648;1;30,0;2;4;B;201543,1425939153
7377;12491;9;2,0;56,98595355066674;35,588550888151595;10,0;13;14,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;218448,56812592052
778;11215;9;2,0;66,13119249512549;54,64574106551241;1,0;4;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;183251,3758863476
7372;1774;93;1,0;39,742737273435466;19,12578720585347;10,0;14;17,0;1982;0,050900058;B;B;43;10621;1;30,0;2;3;B;142874,08181511099
6173;942;3;1,0;36,869001922819905;18,319033559901513;6,0;6;9,0;1972;0,050900058;B;B;43;10621;1;30,0;2;3;B;153047,2720234528
6178;740;9;2,0;66,54212447478864;3,4356818383877195;1,0;2;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;181423,63387461816
7356;7711;9;3,0;83,85948828897206;52,26192246645988;1,0;16;18,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;240832,72350779324
6191;16189;9;3,0;87,40862624410023;87,69330793000971;10,0;7;17,0;2015;0,161531741;B;B;25;5648;1;30,0;2;4;B;254065,76633828718
1175;3527;9;1,0;72,03539570333537;2,35899218991184;1,0;5;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;191744,61540830298
2320;3530;9;3,0;73,01125384224548;47,252696014612;9,0;6;10,0;1993;0,161531741;B;B;25;5648;1;30,0;2;4;B;249049,75906913079
5793;2015;128;2,0;56,48140009786466;34,041213418485064;8,0;9;12,0;1992;0,0;B;B;27;4798;0;30,0;2;8;B;272398,7216715266
1700;5426;9;2,0;57,21397200280797;31,383846092154695;11,0;7;10,0;1998;0,161531741;B;B;25;5648;1;30,0;2;4;B;118059,00612144561
9522;2128;9;1,0;35,55263726013619;20,48353218080013;9,0;7;10,0;2010;0,161531741;B;B;25;5648;1;30,0;2;4;B;127053,89535421957
9503;6503;9;2,0;58,53779369228611;33,016067773736246;10,0;14;14,0;1996;0,161531741;B;B;25;5648;1;30,0;2;4;B;221585,66256748146
2779;7731;9;3,0;78,60835962621417;44,965487144532354;10,0;8;17,0;1991;0,161531741;B;B;25;5648;1;30,0;2;4;B;277818,38959196623
9433;11778;128;2,0;51,884278899145215;33,048339957790816;8,0;9;12,0;1994;0,0;B;B;27;4798;0;30,0;2;8;B;253856,0711327471
9425;7270;9;3,0;83,13520891893835;50,899767473366396;8,0;4;14,0;1992;0,161531741;B;B;25;5648;1;30,0;2;4;B;236574,58721375122
9409;9207;9;3,0;75,33797005740807;44,58986027148647;10,0;10;10,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;243420,1791338147
2847;4833;3;2,0;49,11940562542876;29,16806157268465;7,0;8;12,0;1976;0,050900058;B;B;43;10621;1;30,0;2;3;B;184778,9331839191
2872;10253;9;3,0;78,56566366572414;74,61615850283711;1,0;4;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;227573,48848082495
5722;10879;9;3,0;88,05292944404337;52,26192246645988;1,0;11;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;240704,6179701105
2016;8790;9;3,0;76,23354525238423;47,06749351685433;9,0;4;17,0;1996;0,161531741;B;B;25;5648;1;30,0;2;4;B;266056,176929213
2011;12732;9;1,0;44,69723525235111;30,928076795745028;1,0;6;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;130621,25619050262
2876;14978;9;2,0;56,835810670322616;37,694168596007856;8,0;7;17,0;2007;0,161531741;B;B;25;5648;1;30,0;2;4;B;201808,23946555503
2879;7035;9;1,0;43,591764157150735;30,928076795745028;1,0;6;18,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;129277,64144509476
2913;9910;128;1,0;40,45384964828328;23,4439161064598;10,0;11;22,0;1990;0,0;B;B;27;4798;0;30,0;2;8;B;188804,23384223183
